"letter","cell","sex","X","Y","age","animal","synapses","treatment","category","R_a"
"BN","25.1.2","Male",152.92125,337.18875,29,25,"Glutamate","Control",2,"1.6, 1.7, 1.7, 1.8, 1.8, 2.0"
"AZ","21.1.1","Female",352.618,331.7375,32,21,"Glutamate","Control",2,"2.5, 2.6, 2.6, 2.9, 2.6, 2.6, 2.6, 2.7"
"AO","17.1.1","Male",NA,NA,39,17,"Glutamate","Control",2,"1.9, 1.9, 1.8, 1.9, 2.0, 3.0"
"BO","27.2.1","Male",NA,NA,32,27,"Glutamate","HNMPA",2,"1.7, 1.7, 1.7, 1.8, 1.7, 1.8"
"BT","30.2.1","Male",387.1925,586.98375,37,30,"Glutamate","HNMPA",2,"1.4, 1.4, 1.4, 1.4, 1.4, 1.4, 1.8, 1.5, 1.5, 1.5"
"CG","35.1.3","Female",164.18,366.52,36,35,"Glutamate","HNMPA",2,"2.0, 2.1, 2.1, 2.2, 2.2, 2.2"
"L","8.5.2.1","Male",NA,NA,38,8.5,"Glutamate","Control",2,"1.4, 1.5, 1.5, 1.6, 1.6, 1.5"
"CZ","41.2.2","Male",296.51,492.9,28,41,"Glutamate","HNMPA",2,"2.0, 2.0, 2.1, 2.2, 2.1, 2.1"
"FT","72.2.1","Female",153.33,337.18,39,72,"Glutamate","HNMPA",2,"1.5, 1.5, 1.6, 1.7, 1.9, 2.0"
"FX","74.1.2","Female",234.69,495.5,28,74,"Glutamate","PPP",2,"1.9, 1.8, 1.9, 2.1, 2.0, 2.3"
"GF","77.3.1","Female",217.23,323.55,36,77,"Glutamate","PPP",2,"1.6, 1.6, 1.7, 1.7, 1.8, 1.7"
"GI","81.1.1","Female",235.96,284.23,28,81,"Glutamate","PPP",2,"1.3, 1.3, 1.3, 1.3, 1.4, 1.4"
"GK","84.1.1","Male",248.74,574.44,35,84,"Glutamate","PPP",2,"2.2, 2.2, 2.2, 2.3, 2.5"
"GR","90.3.1","Male",313.5,415.97,34,90,"Glutamate","PPP",2,"1.3, 1.4, 1.5, 1.5, 1.6, 1.8"
"GX","97.2.3","Male",NA,NA,33,97,"Glutamate","PPP_and_HNMPA",2,"1.6, 1.6, 1.7, 1.7, 1.8, 1.7"
"HB","100.1.1","Male",133.2,590.25,39,100,"Glutamate","PPP_and_HNMPA",2,"2.2, 2.5, 2.5, 2.6, 2.6, 2.6"
"HC","100.2.2","Male",172.54,576.26,39,100,"Glutamate","PPP_and_HNMPA",2,"1.4, 1.5, 1.6, 1.9, 1.8, 2.3, 2.0"
"HG","103.2.1","Female",NA,NA,34,103,"Glutamate","PPP_and_HNMPA",2,""
"HN","109.1.1","Male",288.97,400.18,38,109,"Glutamate","PPP_and_HNMPA",2,"1.7, 1.7, 1.7, 1.7, 1.7, 1.7"
